id,producer_name
1,MSG Networks Inc.
2,Allstate Corporation (The)
3,Companhia Paranaense de Energia (COPEL)
4,Vical Incorporated
5,"Bonanza Creek Energy, Inc."
6,"The Hackett Group, Inc."
7,Horizon Technology Finance Corporation
8,The Spectranetics Corporation
9,SodaStream International Ltd.
10,Coupa Software Incorporated
11,"China Fund, Inc. (The)"
12,Alpha and Omega Semiconductor Limited
13,Yamana Gold Inc.
14,Teekay Offshore Partners L.P.
15,"Old Dominion Freight Line, Inc."
16,Easterly Acquisition Corp.
17,Hornbeck Offshore Services
18,"Hartford Financial Services Group, Inc. (The)"
19,Lindblad Expeditions Holdings Inc. 
20,"Immunomedics, Inc."
21,Cemtrex Inc.
22,"SunCoke Energy Partners, L.P."
23,Calpine Corporation
24,"Idera Pharmaceuticals, Inc."
25,Axis Capital Holdings Limited
26,BOK Financial Corporation
27,First Foundation Inc.
28,Brookfield Business Partners L.P.
29,"PIMCO Strategic Income Fund, Inc."
30,Davis Select Worldwide ETF
31,"FRP Holdings, Inc."
32,Pitney Bowes Inc.
33,"PNC Financial Services Group, Inc. (The)"
34,"Wellesley Bancorp, Inc."
35,Saban Capital Acquisition Corp.
36,Changyou.com Limited
37,Nuveen Preferred and Income Term Fund
38,"Goldman Sachs Group, Inc. (The)"
39,"Onconova Therapeutics, Inc."
40,Teleflex Incorporated
41,Kyocera Corporation
42,"BofI Holding, Inc."
43,Marine Petroleum Trust
44,National Holdings Corporation
45,"HC2 Holdings, Inc."
46,Arthur J. Gallagher & Co.
47,"Copart, Inc."
48,American Homes 4 Rent
49,PIMCO New York Municipal Income Fund
50,"Flex Pharma, Inc."
51,"Silicon Laboratories, Inc."
52,DTE Energy Company
53,Innodata Inc.
54,Pendrell Corporation
55,"Banc of California, Inc."
56,"Blackrock MuniHoldings New York Quality Fund, Inc."
57,Microchip Technology Incorporated
58,Blackrock MuniYield Investment Fund
59,Nuveen Municipal 2021 Target Term Fund
60,Centene Corporation
61,Urstadt Biddle Properties Inc.
62,Reliance Steel & Aluminum Co.
63,Hersha Hospitality Trust
64,"Prologis, Inc."
65,Neovasc Inc.
66,Scudder Municiple Income Trust
67,Blackrock Municipal 2020 Term Trust
68,Cytori Therapeutics Inc
69,"Mesa Laboratories, Inc."
70,"Isramco, Inc."
71,"Envestnet, Inc"
72,Nuveen All Cap Energy MLP Opportunities Fund
73,Houston Wire & Cable Company
74,"Pacira Pharmaceuticals, Inc."
75,Fortis Inc.
76,"Wayside Technology Group, Inc."
77,INVESCO MORTGAGE CAPITAL INC
78,Banco Santander Chile
79,"WideOpenWest, Inc."
80,"WhiteHorse Finance, Inc."
81,"Telephone and Data Systems, Inc."
82,First Trust CEF Income Opportunity ETF
83,Ally Financial Inc.
84,Ark Restaurants Corp.
85,Qwest Corporation
86,"Ingles Markets, Incorporated"
87,China Unicom (Hong Kong) Ltd
88,"Lee Enterprises, Incorporated"
89,Easterly Acquisition Corp.
90,IQ Chaikin U.S. Small Cap ETF
91,BRF S.A.
92,"Patterson-UTI Energy, Inc."
93,Nationstar Mortgage Holdings Inc.
94,"Barrett Business Services, Inc."
95,"WellCare Health Plans, Inc."
96,PHH Corp
97,"FibroGen, Inc"
98,LaSalle Hotel Properties
99,"Centennial Resource Development, Inc."
100,RELX PLC
